########

## 	Model: LSTM with N=512

########

1514	0.104266
1515	0.098145
1516	0.105645
1517	0.101075
1518	0.102470
1519	0.099680
1520	0.101885
1521	0.100046
1522	0.100338
1523	0.099793
1524	0.101734
1525	0.097861
1526	0.098810
1527	0.098560
1528	0.099642
1529	0.096512
1530	0.104444
1531	0.097394
1532	0.100931
1533	0.104769
1534	0.107075
1535	0.102852
1536	0.122979
1537	0.151649
1538	0.146538
1539	0.110158
1540	0.114965
1541	0.118372
1542	0.101943
1543	0.093250
1544	0.091671
1545	0.098877
1546	0.088445
1547	0.098136
1548	0.096122
1549	0.090913
1550	0.095076
1551	0.098769
1552	0.091053
1553	0.101859
1554	0.096203
1555	0.102655
1556	0.097194
1557	0.100192
1558	0.094937
1559	0.100776
1560	0.099045
1561	0.097659
1562	0.093922
1563	0.098769
1564	0.095403
1565	0.100311
1566	0.105168
1567	0.099148
1568	0.108126
1569	0.097657
1570	0.108350
1571	0.093693
1572	0.109801
1573	0.096332
1574	0.094878
1575	0.099604
1576	0.101042
1577	0.100427
1578	0.104616
1579	0.103060
1580	0.111932
1581	0.119104
1582	0.136698
1583	0.133465
1584	0.125881
1585	0.102941
1586	0.098255
1587	0.097570
1588	0.094953
1589	0.092378
1590	0.101816
1591	0.103699
1592	0.096507
1593	0.098027
1594	0.095814
1595	0.088870
1596	0.097517
1597	0.102651
1598	0.099411
1599	0.090227
1600	0.103553
1601	0.098366
1602	0.098093
1603	0.100086
1604	0.096782
1605	0.098650
1606	0.097270
1607	0.092911
1608	0.102411
1609	0.090856
1610	0.110529
1611	0.098838
1612	0.096547
1613	0.100010
1614	0.104096
1615	0.095244
1616	0.095985
1617	0.094885
1618	0.094362
1619	0.097257
1620	0.098128
1621	0.094369
1622	0.104298
1623	0.098158
1624	0.096291
1625	0.092158
1626	0.098262
1627	0.096823
1628	0.096754
1629	0.090448
1630	0.099144
1631	0.102248
1632	0.103135
1633	0.104050
1634	0.096633
1635	0.098285
1636	0.099532
1637	0.100840
1638	0.112349
1639	0.097522
1640	0.098026
1641	0.103380
1642	0.095155
1643	0.096890
1644	0.097664
1645	0.101028
1646	0.092083
1647	0.097571
1648	0.093134
1649	0.096869
1650	0.100702
1651	0.102242
1652	0.108785
1653	0.097893
1654	0.093960
1655	0.104643
1656	0.104964
1657	0.100956
1658	0.110784
1659	0.115635
1660	0.129709
1661	0.162664
1662	0.107713
1663	0.091652
1664	0.099739
1665	0.094284
1666	0.095761
1667	0.095669
1668	0.094809
1669	0.093166
1670	0.093168
1671	0.099528
1672	0.096740
1673	0.095452
1674	0.092641
1675	0.097024
1676	0.095197
1677	0.101347
1678	0.100797
1679	0.101488
1680	0.096088
1681	0.097195
1682	0.094156
1683	0.103795
1684	0.097261
1685	0.095848
1686	0.103713
1687	0.093784
1688	0.100325
1689	0.098973
1690	0.093961
1691	0.099509
1692	0.097767
1693	0.093135
1694	0.103812
1695	0.100547
1696	0.090515
1697	0.096085
1698	0.099470
1699	0.101331
1700	0.106336
1701	0.101131
1702	0.099869
1703	0.099008
1704	0.103839
1705	0.096604
1706	0.095452
1707	0.099937
1708	0.103647
1709	0.097102
1710	0.102019
1711	0.100636
1712	0.093388
1713	0.101990
1714	0.103771
1715	0.106000
1716	0.102450
1717	0.097671
1718	0.095667
1719	0.094276
1720	0.095933
1721	0.096259
1722	0.093049
1723	0.100806
1724	0.093566
1725	0.099409
1726	0.099853
1727	0.103416
1728	0.100285
1729	0.094097
1730	0.095590
1731	0.096419
1732	0.095984
1733	0.101205
1734	0.101639
1735	0.106286
1736	0.101436
1737	0.101452
1738	0.102565
1739	0.096250
1740	0.100574
1741	0.100964
