########

## 	Model: LSTM with N=1024

########

1481	0.109953
1482	0.115540
1483	0.103566
1484	0.117463
1485	0.115895
1486	0.112371
1487	0.102117
1488	0.105471
1489	0.128952
1490	0.119994
1491	0.112115
1492	0.112142
1493	0.108371
1494	0.116296
1495	0.105186
1496	0.119787
1497	0.108702
1498	0.108100
1499	0.109959
1500	0.108012
1501	0.113487
1502	0.111703
1503	0.108080
1504	0.121046
1505	0.108052
1506	0.114241
1507	0.106682
1508	0.106858
1509	0.105694
1510	0.104909
1511	0.117042
1512	0.113455
1513	0.107044
1514	0.121393
1515	0.131081
1516	0.113352
1517	0.111626
1518	0.124930
1519	0.101820
1520	0.118371
1521	0.101233
1522	0.108714
1523	0.101675
1524	0.113632
1525	0.110699
1526	0.113405
1527	0.105170
1528	0.106716
1529	0.108601
1530	0.106186
1531	0.105791
1532	0.106154
1533	0.102120
1534	0.119536
1535	0.107210
1536	0.112472
1537	0.099122
1538	0.123143
1539	0.110541
1540	0.107920
1541	0.107492
1542	0.108694
1543	0.113111
1544	0.116761
1545	0.108366
1546	0.108858
1547	0.111845
1548	0.125112
1549	0.099750
1550	0.105438
1551	0.108002
1552	0.111287
1553	0.106556
1554	0.108388
1555	0.096675
1556	0.105526
1557	0.108252
1558	0.116451
1559	0.103993
1560	0.112222
1561	0.119654
1562	0.108645
1563	0.116258
1564	0.107723
1565	0.106781
1566	0.113893
1567	0.104809
1568	0.102867
1569	0.105512
1570	0.097573
1571	0.125963
1572	0.106252
1573	0.105988
1574	0.111648
1575	0.104203
1576	0.107750
1577	0.148469
1578	0.133835
1579	0.122400
1580	0.118504
1581	0.108106
1582	0.118280
1583	0.110091
1584	0.115298
1585	0.114802
1586	0.107087
1587	0.107314
1588	0.102384
1589	0.107004
1590	0.117359
1591	0.106106
1592	0.092767
1593	0.099139
1594	0.111574
1595	0.111255
1596	0.104068
1597	0.103863
1598	0.112827
1599	0.105175
1600	0.107348
1601	0.116607
1602	0.102348
1603	0.110605
1604	0.102831
1605	0.109069
1606	0.101813
1607	0.105962
1608	0.105063
1609	0.111915
1610	0.112945
1611	0.114315
1612	0.103990
1613	0.112820
1614	0.118516
1615	0.112971
1616	0.109012
1617	0.100511
1618	0.118469
1619	0.108612
1620	0.111800
1621	0.099847
1622	0.107468
1623	0.112426
1624	0.102425
1625	0.114933
1626	0.102283
1627	0.103879
1628	0.105920
1629	0.110146
1630	0.118327
1631	0.093490
1632	0.111959
1633	0.109326
1634	0.127648
1635	0.104374
1636	0.108754
1637	0.109484
1638	0.106839
1639	0.115734
1640	0.104485
1641	0.107005
1642	0.111869
1643	0.104881
1644	0.106384
1645	0.105151
1646	0.102292
1647	0.101718
1648	0.109180
1649	0.109318
1650	0.111893
1651	0.112978
1652	0.108673
1653	0.117486
1654	0.111619
1655	0.111520
1656	0.111814
1657	0.110449
1658	0.114019
1659	0.100400
1660	0.109617
1661	0.103595
1662	0.104768
1663	0.123061
1664	0.115321
1665	0.105592
1666	0.098146
1667	0.108386
1668	0.113672
1669	0.113407
1670	0.105994
1671	0.102158
1672	0.108516
1673	0.110509
1674	0.117260
1675	0.106764
1676	0.114615
1677	0.115440
1678	0.109867
1679	0.112164
1680	0.101274
1681	0.104526
1682	0.114026
1683	0.101073
1684	0.107505
1685	0.106007
1686	0.116562
1687	0.112941
1688	0.100771
1689	0.109707
1690	0.105296
1691	0.105163
1692	0.113218
1693	0.106656
1694	0.107969
1695	0.111556
1696	0.105021
1697	0.104182
1698	0.111075
1699	0.104836
1700	0.110059
1701	0.115828
1702	0.110752
1703	0.104637
1704	0.103355
1705	0.106988
1706	0.111507
1707	0.111549
1708	0.118155
1709	0.107689
1710	0.106632
1711	0.109099
1712	0.110840
1713	0.108500
1714	0.112974
1715	0.116585
1716	0.110377
1717	0.105948
1718	0.105396
1719	0.101110
1720	0.115402
1721	0.110684
1722	0.113366
1723	0.114574
1724	0.117077
1725	0.116329
1726	0.109783
1727	0.119084
1728	0.109441
1729	0.102712
1730	0.105635
1731	0.094537
1732	0.105214
1733	0.100786
1734	0.100778
1735	0.107191
1736	0.115666
1737	0.107711
1738	0.105351
1739	0.114717
1740	0.114296
1741	0.126116
1742	0.116707
1743	0.114316
1744	0.111630
1745	0.116311
1746	0.105876
1747	0.111575
1748	0.105239
1749	0.107559
1750	0.112983
1751	0.103036
1752	0.104203
1753	0.107061
1754	0.103872
1755	0.110618
1756	0.107584
1757	0.104471
1758	0.098479
1759	0.124264
1760	0.113766
1761	0.114135
1762	0.107842
1763	0.109195
1764	0.104556
1765	0.112105
1766	0.108226
1767	0.103089
1768	0.108310
1769	0.109782
1770	0.106405
1771	0.110041
1772	0.108755
1773	0.108237
1774	0.104917
1775	0.115488
1776	0.104701
1777	0.108185
1778	0.098473
1779	0.097450
1780	0.104659
1781	0.107382
1782	0.101212
1783	0.116953
1784	0.107731
1785	0.120453
1786	0.101516
1787	0.105966
1788	0.110738
1789	0.092606
1790	0.103559
1791	0.112845
1792	0.112115
1793	0.099898
1794	0.117692
1795	0.113624
1796	0.114205
1797	0.108826
1798	0.111234
1799	0.103968
1800	0.109775
1801	0.106530
1802	0.113815
1803	0.102429
1804	0.123949
1805	0.112048
1806	0.106531
1807	0.105511
1808	0.111386
1809	0.108058
1810	0.109728
1811	0.112985
1812	0.099966
1813	0.109616
1814	0.101696
1815	0.127196
1816	0.112465
1817	0.110821
1818	0.109880
1819	0.114715
1820	0.111961
1821	0.103148
1822	0.102778
1823	0.105723
1824	0.112453
1825	0.113004
1826	0.101389
1827	0.104165
1828	0.108189
1829	0.104904
1830	0.107927
1831	0.107999
1832	0.102171
1833	0.124449
1834	0.119127
1835	0.109248
1836	0.104853
1837	0.113773
1838	0.098954
1839	0.109031
1840	0.104655
1841	0.101480
1842	0.111959
1843	0.106036
1844	0.098083
1845	0.101270
1846	0.098265
1847	0.103552
1848	0.108287
1849	0.115799
1850	0.110310
1851	0.116895
1852	0.108222
1853	0.108858
1854	0.102286
1855	0.107906
1856	0.114063
1857	0.100223
1858	0.107037
1859	0.113652
1860	0.112227
1861	0.107003
