########

## 	Model: EURNN with N=512 FFT

########

1107	0.228834
1108	0.227602
1109	0.231464
1110	0.231506
1111	0.230059
1112	0.230907
1113	0.237644
1114	0.234437
1115	0.233078
1116	0.240007
1117	0.235755
1118	0.253721
1119	0.257608
1120	0.252132
1121	0.254414
1122	0.430095
1123	0.339472
1124	0.260833
1125	0.302223
1126	0.432142
1127	0.410541
1128	0.261293
1129	0.288535
1130	0.305216
1131	0.282998
1132	0.268264
1133	0.279088
1134	0.473398
1135	0.474561
1136	0.334123
1137	0.307976
1138	0.314865
1139	0.285884
1140	0.301337
1141	0.308543
1142	0.282879
1143	0.239862
1144	0.233133
1145	0.230925
1146	0.228019
1147	0.228442
1148	0.229886
1149	0.229891
1150	0.228713
1151	0.230083
1152	0.229465
1153	0.233013
1154	0.231976
1155	0.234695
1156	0.237930
1157	0.260600
1158	0.258272
1159	0.258391
1160	0.237226
1161	0.234572
1162	0.230903
1163	0.232494
1164	0.231495
1165	0.233097
1166	0.232662
1167	0.235421
1168	0.232763
1169	0.235218
1170	0.254269
1171	0.249426
1172	0.242821
1173	0.233825
1174	0.234198
1175	0.232291
1176	0.231043
1177	0.230535
1178	0.232094
1179	0.231884
1180	0.234052
1181	0.234861
1182	0.231480
1183	0.230692
1184	0.233055
1185	0.236672
1186	0.235818
1187	0.236598
1188	0.236005
1189	0.240896
1190	0.243549
1191	0.247175
1192	0.260928
1193	0.253020
1194	0.241575
1195	0.242581
1196	0.233674
1197	0.233054
1198	0.231359
1199	0.230172
1200	0.228245
1201	0.228469
1202	0.227532
1203	0.228317
1204	0.228131
1205	0.230558
1206	0.229650
1207	0.231475
1208	0.235192
1209	0.239938
1210	0.259098
1211	0.245153
1212	0.235497
1213	0.245231
1214	0.240585
1215	0.236778
1216	0.230841
1217	0.230804
1218	0.229344
1219	0.230064
1220	0.234125
1221	0.235482
1222	0.233328
1223	0.270051
1224	0.273256
1225	0.244312
1226	0.308958
1227	0.335049
1228	0.325288
1229	0.318741
1230	0.321867
1231	0.367628
1232	0.264005
1233	0.399885
1234	0.341982
1235	0.236000
1236	0.240471
1237	0.319498
1238	0.283138
1239	0.264992
1240	0.279940
1241	0.241385
1242	0.229771
1243	0.226437
1244	0.232263
1245	0.236283
1246	0.235700
1247	0.235305
1248	0.232814
1249	0.231735
1250	0.230749
1251	0.228165
1252	0.230671
1253	0.231190
1254	0.231225
1255	0.237458
1256	0.237792
1257	0.243657
1258	0.252827
1259	0.257309
1260	0.235742
1261	0.230936
1262	0.237880
1263	0.249585
1264	0.241988
1265	0.245399
1266	0.238200
1267	0.232790
1268	0.230977
1269	0.230291
1270	0.232717
1271	0.231268
1272	0.231540
1273	0.231153
1274	0.229283
1275	0.229841
1276	0.228542
1277	0.230597
1278	0.229939
1279	0.231964
1280	0.229332
1281	0.230075
1282	0.227288
1283	0.229650
1284	0.228925
1285	0.230102
1286	0.232228
1287	0.228684
1288	0.227923
1289	0.229186
1290	0.228397
1291	0.230730
1292	0.233956
1293	0.235696
1294	0.231318
1295	0.227366
1296	0.229492
1297	0.230033
1298	0.230448
1299	0.230796
1300	0.230074
1301	0.226757
1302	0.229948
1303	0.229099
1304	0.227960
1305	0.225591
1306	0.228366
1307	0.230761
1308	0.234349
1309	0.252540
1310	0.239237
1311	0.233775
1312	0.229547
1313	0.230652
1314	0.229633
1315	0.227838
1316	0.225996
1317	0.228285
1318	0.229214
1319	0.227755
1320	0.228912
1321	0.230025
1322	0.228546
1323	0.230645
1324	0.229363
1325	0.230383
1326	0.228818
1327	0.232780
1328	0.230384
1329	0.238915
1330	0.240399
1331	0.235718
1332	0.229435
1333	0.228124
1334	0.262335
1335	0.240905
1336	0.270114
1337	0.272284
1338	0.290868
1339	0.332628
1340	0.377730
1341	0.544067
1342	0.594283
1343	0.427068
1344	0.376140
1345	0.266138
1346	0.308285
1347	0.557365
1348	0.337544
1349	0.464274
1350	0.274546
1351	0.250902
1352	0.243765
1353	0.236393
1354	0.235342
1355	0.231665
1356	0.232567
1357	0.230737
1358	0.232443
1359	0.230536
1360	0.230266
1361	0.228759
1362	0.231185
1363	0.230279
1364	0.232065
1365	0.232935
1366	0.237078
1367	0.241492
1368	0.247889
1369	0.247008
1370	0.242890
1371	0.239639
1372	0.240652
1373	0.239909
1374	0.239395
1375	0.237061
1376	0.235055
1377	0.234934
1378	0.235333
1379	0.235268
1380	0.232607
1381	0.235783
1382	0.239287
1383	0.240825
1384	0.253008
1385	0.252693
1386	0.243099
1387	0.241274
1388	0.244887
1389	0.244903
1390	0.239162
1391	0.235896
1392	0.234612
1393	0.232231
1394	0.231910
1395	0.230380
1396	0.229851
1397	0.232372
1398	0.233175
1399	0.231666
1400	0.230155
1401	0.228936
1402	0.230218
1403	0.226211
1404	0.227852
1405	0.230506
1406	0.230842
1407	0.236223
1408	0.244115
1409	0.250381
1410	0.241125
1411	0.243944
1412	0.259721
1413	0.304504
1414	0.273394
1415	0.277138
1416	0.241999
1417	0.266893
1418	0.440663
1419	0.284734
1420	0.257112
1421	0.246567
1422	0.233163
1423	0.231473
1424	0.228839
1425	0.229107
1426	0.229565
1427	0.229166
1428	0.227769
1429	0.228584
1430	0.231338
1431	0.230834
1432	0.234133
1433	0.232771
1434	0.236521
1435	0.235733
1436	0.233479
1437	0.232238
1438	0.237018
1439	0.235955
1440	0.235231
1441	0.236023
1442	0.233652
1443	0.233937
1444	0.231372
1445	0.231783
1446	0.230842
1447	0.231030
1448	0.232050
1449	0.233303
1450	0.232413
1451	0.231996
1452	0.232943
1453	0.235912
1454	0.241763
1455	0.240413
1456	0.233007
1457	0.228980
1458	0.228159
1459	0.228106
1460	0.230663
1461	0.227634
1462	0.229511
1463	0.232910
1464	0.238771
1465	0.236169
1466	0.233670
1467	0.230540
1468	0.230535
1469	0.241001
1470	0.251191
1471	0.239857
1472	0.242789
1473	0.255760
1474	0.242106
1475	0.254563
1476	0.263938
1477	0.242282
1478	0.259983
1479	0.252824
1480	0.239562
1481	0.234650
1482	0.230884
1483	0.247970
1484	0.331368
1485	0.255527
1486	0.245867
1487	0.251258
1488	0.233093
1489	0.270091
1490	0.252522
1491	0.263787
1492	0.362878
1493	0.290301
1494	0.289799
1495	0.367635
1496	0.263256
1497	0.278586
1498	0.282519
1499	0.248464
1500	0.268633
1501	0.262330
1502	0.231234
1503	0.234104
1504	0.247245
1505	0.244922
1506	0.231447
1507	0.227003
1508	0.228309
1509	0.227158
1510	0.227982
1511	0.225967
1512	0.228669
1513	0.230377
1514	0.232868
1515	0.235569
